ID,Name,Exchange,Ticker,Curr Cost,Curr FV,Last Cost,Last FV,Invest Date,Industry,Description
1005A011,Gem,,,"254,720","1,726,367","254,720","1,610,300",02/14/2018,,
1005A012,HelloTech,,,"359,349","1,419,220","359,349","1,419,220",12/14/2018,,
1005A013,HypeVR,,,"250,000","250,000","250,000","250,000",,,
1005A014,Iconery,,,"256,800","303,343","256,800","345,208",05/15/2018,,
1005A015,Little Labs,,,"355,112","1,242,393","355,112","1,242,393",11/14/2018,,
1005A016,Mover.io,,,"29,348","29,670","25,000","25,000",02/15/2018,,
1005A017,Raur (TJS 3),,,"200,000","531,840","200,000","200,000",09/14/2018,,
1005A018,Repost Network,,,"150,000","150,000","150,000","150,000",,,
1005A019,Rock You,,,"150,000","168,448","150,000","168,448",,,
1005A020,Sensay,,,"269,517","1,422,447","269,517","1,422,447",12/14/2018,,
1005A021,The Bouqs Company,,,"50,000","60,830","50,000","60,830",12/15/2018,,
1005A022,The Kive Company,,,"12,500","12,500","12,500","12,500",02/14/2018,,
1005A023,Translation Exchange,,,"353,861","697,213","353,861","697,213",08/14/2018,,
1005A024,Tribe,,,"65,000","65,000","65,000","65,000",,,
1005P001,Clear Path,,,0,"69,034",0,"25,962",09/14/2018,,
1005P002,Contract Cloud,,,"105,000",,"105,000",,09/14/2018,,
1005P003,Eversport Media,,,"281,709",,"281,709",,06/14/2018,,
1005P004,Fanbread,,,"200,000","200,000","200,000","200,000",05/14/2018,,
1005P005,FitWallet,,,"125,000",,"125,000",,10/14/2018,,
1005P006,Instarad.io,,,"100,000","100,000","100,000","100,000",09/14/2018,,
1005P007,TripScope,,,"225,000",,"225,000",,07/14/2018,,
1005P008,Vadio,,,"100,000","100,000","100,000","100,000",01/15/2018,,
1005P009,Weaver,,,"125,000",,"125,000",,06/14/2018,,
1005P010,Ziptask,,,"100,000","184,012","100,000","184,012",07/14/2018,,
1006A001,Brighten Labs,,,"250,000","250,000","250,000","250,000",,,
1006A002,CarPay,,,"200,000","200,000",,,,,
1006A003,The Flex Company,,,"376,597","2,980,568","350,000","350,000",,,
1006A004,Ledge,,,"255,600","282,000","250,000","276,400",,,
1006A005,Lensabl,,,"150,000","150,000","150,000","150,000",,,
1006A006,Markett,,,"328,255","750,000","328,255","750,000",,,
1006A007,Medrepublic,,,"350,000","350,000","200,000","200,000",,,
1006A008,SafeRide,,,"450,001","865,905","450,001","865,905",,,
1006A009,Stop Breate Think,,,"307,792","600,000","307,792","600,000",,,
1006A010,unGlue,,,"375,000","375,000","375,000","375,000",,,
1006A011,Vetted Petcare,,,"552,607","951,127","300,000","300,000",,,
1006A012,WeeCare,,,"450,000","450,000",0,0,,,
1006A013,"Kulagy Technologies, Inc.",,,"350,000","350,000","350,000",0,08/01/2018,,
1006A014,"Skylar Body, Inc.",,,"453,025","677,540","677,540",0,08/01/2018,,
1006A015,"TapCart, Inc.",,,"400,000","400,000","400,000",0,08/01/2018,,
1006A016,"SmartLane, Inc.",,,"350,000","350,000","350,000",0,08/01/2018,,
1006A017,"Volley, Inc,",,,"550,000","1,144,494","1,144,494",0,08/01/2018,,
1006A018,"Slinger Studios, inc.",,,"350,000","350,000","350,000",0,08/01/2018,,
1007A001,"Abot Labs, Inc.",,,"250,000","250,000","250,000",0,08/01/2018,Software,
1007A002,"The Apparel Network, Inc. (TAN)",,,"425,953","606,309","606,309",0,08/01/2018,Software,
1007A003,"GLG Gaming, Inc (ProGuides)",,,"375,000","375,000","375,000",0,08/01/2018,"Tech, Media & Telecom",
1008A001,Battlefy,,,"200,000","359,539",,,,,
1008A002,Bitvault,,,"300,000","300,000",,,,,
1008A003,Estify,,,"299,994","299,994",,,,,
1008A004,Fama,,,"500,000","609,251","200,000","200,000",,,
1008A005,FloQast,,,"100,000","100,000","100,000","100,000",,,
1008A006,HypeVR,,,"110,000","110,000","110,000","110,000",,,
1008A007,Winc,,,"175,000","175,000",,,,,
1008A008,"Stop, Breathe, Think, PBC",,,"150,000","150,000","150,000",0,06/01/2018,Retail,
1009A001,iHeartMedia (Clear Channel),NYSE,CCO,"489,246,000","191,860,000","489,246,000","249,192,000",07/08/2017,TMT,Global media and entertainment company specializing in mobile and on-demand entertainment and information services for local communities and premiere opportunities for advertisers. CCO focuses on radio and outdoor displays.
1009A002,Michaels Stores,NASDAQ,MIK,"579,670,000","1,538,118,000","589,418,000","1,514,086,000",10/06/2017,Retail,"Leading North American specialty arts and crafts retail chain with >1,00 stores, headquartered in Iriving, Texas."
1009A003,Quintiles Group,NASDAQ,Q,"300,681,000","1,071,901,000","300,681,000","1,030,313,000",01/08/2017,Healthcare,"Market leading US and Eurpoean focused Contract Research Organization providing clinical trials management and other outsourced services to pharmaceutical and biotech customers, headquartered in Durham, North Carolina."
1009A004,Sankaty Special Situations,,,"447,867,000","246,470,000","447,867,000","246,510,000",08/07/2017,Financial,"The fixed income affiliate of Bain Capital, a private manager of high yield debt securities."
1009P001,Applied Systems,,,"235,812,000","1,033,225,000","235,812,000","1,033,225,000",09/06/2017,Software,Market leader in agency management systems supplying full enterprise management software to insurance agencies in the US and Canada. Headquarted in University Park Illinois.
1009P002,Bavaria Yacht,,,"138,989,000",,"138,989,000",,07/07/2017,Industrial,"German yacht builder producing 2,500 sailing and motor yachts each year by 600 employees. One of Europe's biggest yacht manufacturer's."
1009P003,Bloomin' Brands,NASDAQ,BLMN,"540,066,000","1,190,497,000","540,066,000","1,190,497,000",06/07/2017,Consumer & Retail,"One of the largest casual dining restaurant companies in the world with a portfolio of brands that includes Outback Steakhouse, Carrabba's Italian Grill, Bonefish Grill, Fleming's Prime Steakhouse & Wine Bar and Roy's Hawaiian Fusion Cuisine."
1009P004,Brakes (f/k/a Brake Bros.)*,LSE,BKB,"429,968,000","577,749,000","429,968,000","577,749,000",09/07/2017,Restaurants,"Leading foodservice distributor operating in United Kingdom, Ireland, France and Sweden, servicing over 160,000 customer outlets; headquartered in London, England."
1009P005,Burlington Coat Factory,NYSE,BURL,"265,246,000","1,741,400,000","265,246,000","1,741,400,000",04/06/2017,Retail,"Off-price department store retailer with 477 stores; headquartered in Burlington, New Jersey."
1009P006,Edcon,,,"580,174,000",,"580,174,000",,05/07/2017,Retail,"South Africa's #1 retailer of clothing, footwear and cosmetics; headquartered in Johannesburg, South Africa"
1009P007,Greatview Aseptic Packaging,HK,468,"53,302,000","262,404,000","53,302,000","262,404,000",09/06/2017,Industrial,A leading local producer of aseptic packaging materials for liquid food and beverages in China; headquartered in Bejing
1009P008,HCA,NYSE,HCA,"684,539,000","3,575,508,000","684,539,000","3,575,508,000",11/06/2017,Healthcare,"Leading acute care hospital operator in the US, based in Nashville, Tennesee."
1009P009,HD Supply,NASDAQ,HDS,"807,760,000","1,871,743,000","807,760,000","1,871,743,000",08/07/2017,Industrial,"Diversified US wholesale distributor of construction materials to professional contractors and homebuilders, based in Atlanta, Georgia."
1009P010,Jinsheng,,,"44,511,000","57,943,000","44,511,000","57,684,000",01/07/2017,Real Estate,"Operator and developer of Chinese shopping malls focusing on home décor and furniture; based in Nanjing, China."
1009P011,MEI Conlux,,,"80,566,000","177,275,000","80,566,000","177,275,000",06/06/2017,Industrial,"Global leader in payment acceptance systems; combination of #1 US and Japan player, headquartered in West Chester, Pennsylvania."
1009P012,NXP,NASDAQ,NXPI,"622,672,000","909,022,000","622,672,000","909,022,000",09/06/2017,Technology Hardware,"Global semi-conductor business, predominantly focused on mixed-signal and application specific segments; headquartered in Eindhoven, Netherlands."
1009P013,Nutro Products,,,"274,424,000","688,338,000","274,424,000","688,338,000",04/06/2017,Consumer & Retail,"A subsidiary of Mars Inc, is the developer and manufacturer of various dog and cat food brands."
1009P014,Sensata Technologies,NYSE,ST,"368,256,000","1,783,287,000","368,256,000","1,783,287,000",04/06/2017,Healthcare,"Global leader in sensors and controls business; headquartered in Attleboro, Massachusetts."
1009P015,Sinomedia (CTVGB),HK,623,"29,918,000","63,985,000","29,918,000","63,985,000",11/06/2017,Media,Sinomedia is a leading media advertising operator in China and provides TV advertising services nationwide. Sinomedia is one of the largest underwriters of TV advertisement time for China Central Television Station.
1009P016,Sun Telephone,,,"29,608,000","50,551,000","29,608,000","50,551,000",02/07/2017,Telecommunications,"Market leading distributor/procurement house in IT wiring/cable and equipment market and leading small and medium enterprise equipment leasing provider in Japan; headquartered in Tokyo, Japan."
1009P017,Guitar Center Hello,,,"464,657,000",0,"464,657,000",0,10/07/2017,Retail,"Leading US multi-channel retailer of musical instruments since 1959 with over 200 stores and the greatest online traffic of musical instruments purchases; headquartered in Westlake Village, California."
1009P018,Ideal Standard,,,"350,487,000","9,456,000","350,487,000","11,301,000",10/07/2017,Consumer,"Leading European manufacturer and marketer of bathroom products, headquartered in Belgium."
1010A001,111 Capital,,,"429,699,000","429,704,000","429,699,000","429,699,000",03/08/2018,Finance,Bain owned distressed debt manager.
1010A002,Apex Tool Group,,,"358,177,408","573,083,852","537,265,000","537,265,000",02/13/2018,Industrial & Energy,Leading global tools manufacturer that produces branded and private label hand tools for professionals and consumers.
1010A003,ASIMCO,,,"223,949,000","214,160,000","223,949,000","223,949,000",09/10/2018,Industrials/Natural Resources,"Leading supplier of components to the diesel engine market in China. ASIMCO makes a wide range of products, including fuel injection systems, powertrain, chassis components, rotating electrics, and NVH products."
1010A004,Atento,,,"246,222,000","249,433,000","246,222,000","246,222,000",12/12/2018,Financial & Business Services,Leading provider of call center and BPO services in Latin America.
1010A005,Frank's International (fka Blackhawk Specialty Tools)*,,,"112,960,000","108,872,000","112,960,000","112,960,000",08/13/2018,Industrials/Natural Resources,"Blackhawk Specialty Tools is a leading provider of equipment and services to the oil and gas industries, specializing in deep-water cement heads, a critical part of well construction. - See more at: http://www.baincapitalprivateequity.com/investments/blackhawk-specialty-tools#sthash.HGkGUdK7.dpuf"
1010A006,BMC Software,,,"389,664,000","998,302,000","858,291,000","858,291,000",09/13/2018,"Tech, Media & Telecom","BMC develops, markets and sells software used for multiple functions, including IT service management, data center automation, performance management, virtualization lifecycle management and cloud computing management."
1010A007,Bob's Discount Furniture,,,"365,053,000","365,053,000","365,053,000","365,053,000",02/14/2018,Retail,"Bob's Discount Furniture is a privately owned regional chain of furniture stores along the Eastern United States, primarily in theNortheastern United States."
1010A008,Canada Goose,,,"119,891,000","3,073,592,000","1,306,620,000","1,306,620,000",12/13/2018,"Consumer, Retail & Dining","Leading designer and manufacturer of premium outdoor apparel that sells its professional-grade jackets, gloves, hats and vests to consumers globally."
1010A009,China Fire & Security Group,NASDAQ,CSFG,"9,755,000","9,755,000","9,755,000","9,755,000",11/11/2018,Industrials/Natural Resources,Leading player in home appliance and consumer electronics
1010A010,Clear Channel (iHeartMedia),NYSE,CCO,"174,328,000","160,400,000","174,328,000","174,328,000",07/08/2018,"Tech, Media & Telecom",Global media and entertainment company specializing in mobile and on-demand entertainment and information services for local communities and premiere opportunities for advertisers. CCO focuses on radio and outdoor displays.
1010A011,Genpact,NYSE,G,"839,294,000","871,735,000","839,294,000","839,294,000",10/12/2018,Financial & Business Services,"Global provider of business process management and technology services, focused on finance and accounting for corporations."
1010A012,Himadri,IN,HCIL,"125,256,000","219,546,000","125,256,000","125,256,000",01/10/2018,Industrials/Natural Resources,"Leading Indian distiller of coal tar, producing coal tar pitch and other value-added downstream products that are key inputs for core industries, including aluminum, steel, building products, auto tires, consumer goods, and lithium ion batteries."
1010A013,Ideal Standard,,,"3,152,000","3,234,000","3,152,000","3,152,000",10/07/2018,Industrials/Natural Resources,Leading European manufacturer of bathroom products.
1010A014,MYOB Group,,,"1,239,398,000","1,255,399,000","1,239,398,000","1,239,398,000",09/11/2018,Financial & Business Services,Australia's leading ERP software provider for small and micro businesses and accounting practices.
1010A015,Quintiles Group,NYSE,Q,"1,033,272,000","1,056,633,000","1,033,272,000","1,033,272,000",01/08/2018,Healthcare,"Market leading US and Eurpoean focused Contract Research Organization providing clinical trials management and other outsourced services to pharmaceutical and biotech customers, headquartered in Durham, North Carolina."
1010A016,The Weather Company,,,"403,478,000","403,479,000","403,478,000","403,478,000",09/08/2018,"Tech, Media & Telecom",Leading provider of weather information.
1010A017,Kestra Medical Technologies,,,"51,831,000","61,145,000","51,831,000","51,831,000",10/16/2018,Healthcare,Kestra Medical Technologies represents the business spun-off from Physio-Control during 2014. Total dollars invested includes $24.2M of the initial investment in Physio-Control that was subsequently invested into Kestra Medical Technologies and the amount invested in this company at the time of the Physio-Control sale.
1010P001,Air Medical,,,"397,442,000","858,891,000","397,442,000","858,891,000",10/10/2018,Healthcare,Leading provider of community-based air ambulance services
1010P002,Apple Leisure,,,"143,026,000","747,245,000","143,026,000","747,245,000",12/12/2018,"Consumer, Retail & Dining",Vertically integrated travel and resort company focused on packaged travel and hotel management in Mexico and the Carribean.
1010P003,Contec Holdings,,,"213,370,000",,"213,370,000",,07/08/2018,Services,Leading consumer premise equipment repair company providing services to the broadband industry.
1010P004,Denon & Marantz (D&M),,,"168,382,000",,"168,382,000",,09/08/2018,"Consumer, Retail & Dining","Leading provider of premium branded audio & visual, information, and communication equipment."
1010P005,Consolidated Container,,,"167,558,000","391,914,000","391,914,000","391,914,000",07/12/2018,Industrials/Natural Resources,"U.S. supplier of High-Density Polyethylene plastic bottle packaging to several end markets including the Food, Beverage, Household Chemical and Auto Chemical industries."
1010P006,Gymboree,,,"495,814,000","68,878,000","68,878,000","68,878,000",11/10/2018,"Consumer, Retail & Dining",Leading retailer of higher-quality children's apparel and accessories.
1010P007,GOME Electrical Appliances,HK,493,"140,528,000","176,762,000","140,528,000","176,762,000",09/09/2018,"Consumer, Retail & Dining",One of the largest privately-owned electrical appliance retailers in Mainland China and Hong Kong
1010P008,Hero Investments,NASDAQ,HERO,"562,090,000","796,228,000","562,090,000","796,228,000",04/11/2018,"Consumer, Retail & Dining",Leading motorcycle manufacturer in India with the largest nationwide distribution and service network.
1010P009,International Market Centers,,,"198,994,000","427,952,000","415,189,000","415,189,000",05/11/2018,Financial & Business Services,"Operator of premier showroom space for the furnishings, home décor and gift industries."
1010P010,Jupiter Shop Channel,,,"76,947,000","239,725,000","76,947,000","239,203,000",06/12/2018,"Consumer, Retail & Dining",Direct marketing/retailing company that operates a television shopping channel in Japan.
1010P011,Lilliput Kidswear,,,"59,478,000","18,094,000","59,478,000","18,094,000",04/10/2018,"Consumer, Retail & Dining",India's leading kidswear company.
1010P012,Physio Control,,,"126,882,000","734,205,000","126,882,000","735,014,000",11/11/2018,Healthcare,"Leading manufacturer of external defibrillators, providing mission critical lifesaving equipment to hospitals and first responders worldwide."
1010P013,Securitas Direct,,,"260,938,000","541,955,000","260,938,000","541,955,000",09/11/2018,Consumer,Europe’s leading provider of high quality alarm and security services to residential homes and small businesses.
1010P014,Skillsoft,,,"157,188,000","449,368,000","157,188,000","449,368,000",05/10/2018,"Tech, Media & Telecom",Leading SaaS provider of on demand e-learning and performance support solutions.
1010P015,Square Trade,,,"190,096,000","607,585,000","190,096,000","607,585,000",01/12/2018,Financial & Business Services,"Growing provider of extended warranties for consumer electronics products such as smart-phones, tablets, laptops, and TVs."
1010P016,Trinseo,NYSE,TSE,"363,453,000","963,873,000","363,453,000","963,873,000",06/10/2018,Industrials/Natural Resources,"Leading global materials manufacturer of specialty Synthetic Rubber, Latex and Plastics."
1010P017,Bravida,,,"145,096,000","344,701,000","344,013,000","344,013,000",05/12/2018,Financial & Business Services,"Multi-technical services provider with activities spanning from electrical engineering to plumbing and HVAC (heating, ventilation & air-conditioning.)"
1010P018,WorldPay,,,"96,341,000","547,598,000","96,341,000","547,598,000",11/10/2018,Financial & Business Services,Provider of single card and non-card electronic payment processing services to businesses.
1010P019,Bright Horizons,NYSE,BFAM,"576,760,000","2,868,885,000","2,725,292,000","2,725,292,000",05/08/2018,Financial & Business Services,"Provider of center-based child care, education and enrichment programs, back-up care, before and after school care, and other family support services."
1010P020,Skylark,,,"746,725,000","1,885,462,000","1,892,393,000","1,892,393,000",11/11/2018,Restaurants,"Largest operator of sit-in “family style” restaurants operating under such names as Gusto, Steak Gusto, Jonathan’s, Bamiyan and Yume-an."
1010P021,Bellsystem24,,,"334,886,000","1,023,959,000","1,011,478,000","1,011,478,000",12/09/2018,Financial & Business Services,Provider of marketing and customer service solutions through a nationwide network of contact centers in Japan.
1011A001,Beacon Health Options,,,"191,867,000","207,307,000","191,867,000","207,307,000",12/14/2018,Healthcare,Behavioral health management
1011A002,Virgin Cruises,,,"46,432,000","86,016,000","41,684,000","46,432,000",12/14/2018,Tourism,"A cruise liner business formed in a joint venture between the Virgin Group and Bain Capital, the latter having a majority shareholding"
1011A003,ATW (Big Tex),,,"254,573,000","572,790,000","254,573,000","381,860,000",12/15/2018,Industrial,"Big Tex is the leading national manufacturer of professional-grade trailers, parts and supplies, merged with ATW August 2016"
1011A004,Mercury (formerly ICBPI),,,"166,175,000","391,366,000","166,175,000","253,308,000",12/15/2018,Financial Services,"ICBPI is the leading operator in the Italian card issuing, acquiring, payments and securities services areas, providing a large range of services to financial institutions and corporates."
1011A005,QuVa Pharma,,,"103,306,000","165,312,000","103,306,000","103,306,000",08/15/2018,Healthcare,"QuVa Pharmaceuticals will compete in the nascent outsourced sterile admixing space, which includes the preparation for hospital pharmacies of drugs in combinations, dosage concentrations and dispensing forms, mostly in ready-to-use formats"
1011A006,TI Automotive,,,"481,086,000","1,011,902,000","481,086,000","865,954,000",06/15/2018,Mantufacturing,"TI Automotive develops, manufactures and supplies automotive fluid storage, carrying and delivery systems"
1011A007,Grupo Notre Dame Intermedica (GNDI),,,"439,932,000","2,133,067,000","439,932,000","1,495,061,000",05/14/2018,Healthcare,Grupo Notre Dame Intermedica is one of the largest healthcare services companies in Brazil and the market leader for low cost health and dental plans serving Brazil's growing market for employer-provided insurance.
1011A008,Viewpoint Construction,,,"278,530,000","736,725,000","278,530,000","417,794,000",05/14/2018,Software,Viewpoint Construction Software is a US-based software provider that solves the specific and unique accounting and project management needs of construction contractors.
1011A009,Vertafore,,,"505,032,000","707,045,000","505,032,000","555,535,000",06/16/2018,Software,Vertafore is the largest provider of technology for the insurance industry in the United States
1011A010,TOMS,,,"159,011,000","127,209,000","159,011,000","127,209,000",10/14/2018,Consumer,The company designs and sells shoes based on the Argentine alpargata design as well as eyewear
1011A011,Innocor,,,"172,257,000","129,193,000","172,257,000","129,193,000",02/17/2018,Industrial,Innocor Foam Technologies is a national manufacturer of polyurethane foam products for commercial customers
1011A012,Blue Nile,,,"213,676,000","214,367,000","213,676,000","214,367,000",02/17/2018,Consumer,Blue Nile is the world's leading diamond jeweler online.
1011A013,Aveanna,,,"300,586,000","391,157,000","300,586,000","300,586,000",03/17/2018,Healthcare,Leading pediatric home healthcare company in North America.
1011A014,Navicure*,,,"172,596,000","743,718,000","172,596,000","189,856,000",07/16/2018,,
1011A015,STADA,,,"383,403,000","387,957,000","383,403,000","385,156,000",07/16/2018,,
1011A016,Surgery Partners,,,"554,973,000","567,728,000","554,973,000","419,520,000",07/16/2018,,
1011A017,Diversey,,,"503,041,000","603,650,000","503,041,000","503,041,000",07/16/2018,,
1011A018,Blue Coat Systems,,,"474,185,000","1,497,912,000","474,185,000","1,689,551,000",05/01/2015,Software,"Blue Coat is a leader in enterprise security, providing on-premise, hybrid and cloud-based solutions for protecting web connectivity, combating advanced threats, and responding to security breaches."
1011P001,Sundial Brands,,,"222,508,000","571,250,000","222,508,000","278,136,000",10/15/2018,Consumer,"Sundial Brands, a leading skin care and hair care manufacturer and maker of brands including SheaMoisture and Nubian Heritage, is committed to making the highest quality products possible with natural, certified organic and ethically-sourced ingredients"
1012A001,Axis Bank Ltd.,,,"239,619,000","197,703,000","197,703,000",0,12/01/2017,,
