"AEBODSYS","AEHLGT","AEHLT","AEDECOD","A","C","B","D","APLUSB","CPLUSD","N","PCTTREAT","PCTCONTROL","RD","RR","PVALUE"
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","SUPRAVENTRICULAR ARRHYTHMIAS","SINUS BRADYCARDIA",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","SUPRAVENTRICULAR ARRHYTHMIAS","",10,8,536,538,546,546,1092,1.8,1.5,0.4,125,1.8
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","VENTRICULAR ARRHYTHMIAS AND CARDIAC ARREST","CARDIAC ARREST",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","VENTRICULAR ARRHYTHMIAS AND CARDIAC ARREST","MYOCARDIAL INFARCTION",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","VENTRICULAR ARRHYTHMIAS AND CARDIAC ARREST","VENTRICULAR ARRHYTHMIA",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","VENTRICULAR ARRHYTHMIAS AND CARDIAC ARREST","VENTRICULAR EXTRASYSTOLES",4,0,542,546,546,546,1092,0.7,0,0.7,0,2.8
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","VENTRICULAR ARRHYTHMIAS AND CARDIAC ARREST","VENTRICULAR TACHYCARDIA",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","VENTRICULAR ARRHYTHMIAS AND CARDIAC ARREST","",8,4,538,542,546,546,1092,1.5,0.7,0.7,200,2.1
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","","",22,18,524,528,546,546,1092,4,3.3,0.7,122.2,2.3
"CARDIAC DISORDERS","CARDIAC DISORDER SIGNS AND SYMPTOMS","CARDIAC SIGNS AND SYMPTOMS NEC","CARDIAC DISCOMFORT",6,4,540,542,546,546,1092,1.1,0.7,0.4,150,1.6
"CARDIAC DISORDERS","CARDIAC DISORDER SIGNS AND SYMPTOMS","CARDIAC SIGNS AND SYMPTOMS NEC","PALPITATIONS",10,12,536,534,546,546,1092,1.8,2.2,-0.4,83.3,1.9
"CARDIAC DISORDERS","CARDIAC DISORDER SIGNS AND SYMPTOMS","CARDIAC SIGNS AND SYMPTOMS NEC","",16,16,530,530,546,546,1092,2.9,2.9,0,100,2
"CARDIAC DISORDERS","CARDIAC DISORDER SIGNS AND SYMPTOMS","","",16,16,530,530,546,546,1092,2.9,2.9,0,100,2
"CARDIAC DISORDERS","CARDIAC VALVE DISORDERS","MITRAL VALVULAR DISORDERS","MITRAL VALVE INCOMPETENCE",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"CARDIAC DISORDERS","CARDIAC VALVE DISORDERS","MITRAL VALVULAR DISORDERS","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"CARDIAC DISORDERS","CARDIAC VALVE DISORDERS","","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","CORONARY ARTERY DISORDERS NEC","CORONARY ARTERY DISEASE",18,16,528,530,546,546,1092,3.3,2.9,0.4,112.5,2
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","CORONARY ARTERY DISORDERS NEC","CORONARY ARTERY OCCLUSION",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","CORONARY ARTERY DISORDERS NEC","CORONARY ARTERY STENOSIS",6,4,540,542,546,546,1092,1.1,0.7,0.4,150,1.6
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","CORONARY ARTERY DISORDERS NEC","",26,20,520,526,546,546,1092,4.8,3.7,1.1,130,2.5
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","ACUTE CORONARY SYNDROME",6,0,540,546,546,546,1092,1.1,0,1.1,0,4.2
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","ACUTE MYOCARDIAL INFARCTION",2,4,544,542,546,546,1092,0.4,0.7,-0.4,50,1.4
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","ANGINA PECTORIS",64,36,482,510,546,546,1092,11.7,6.6,5.1,177.8,6.8
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","ANGINA UNSTABLE",6,10,540,536,546,546,1092,1.1,1.8,-0.7,60,2.1
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","ATRIOVENTRICULAR BLOCK COMPLETE",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","MYOCARDIAL INFARCTION",4,4,542,542,546,546,1092,0.7,0.7,0,100,1.3
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","",84,54,462,492,546,546,1092,15.4,9.9,5.5,155.6,6.4
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","","",110,74,436,472,546,546,1092,20.1,13.6,6.6,148.6,7
"CARDIAC DISORDERS","CORONARY NECROSIS AND VASCULAR INSUFFICIENCY","ARTERIOSCLEROSIS CORONARY ARTERY","CORONARY ARTERY ATHEROSCLEROSIS",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"CARDIAC DISORDERS","CORONARY NECROSIS AND VASCULAR INSUFFICIENCY","ARTERIOSCLEROSIS CORONARY ARTERY","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"CARDIAC DISORDERS","CORONARY NECROSIS AND VASCULAR INSUFFICIENCY","","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"CARDIAC DISORDERS","GENERAL SYSTEM DISORDERS NEC","PAIN AND DISCOMFORT NEC","ANGINA PECTORIS",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"CARDIAC DISORDERS","GENERAL SYSTEM DISORDERS NEC","PAIN AND DISCOMFORT NEC","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"CARDIAC DISORDERS","GENERAL SYSTEM DISORDERS NEC","","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"CARDIAC DISORDERS","HEART FAILURES","HEART FAILURES NEC","CARDIAC FAILURE CONGESTIVE",8,4,538,542,546,546,1092,1.5,0.7,0.7,200,2.1
"CARDIAC DISORDERS","HEART FAILURES","HEART FAILURES NEC","",8,4,538,542,546,546,1092,1.5,0.7,0.7,200,2.1
"CARDIAC DISORDERS","HEART FAILURES","RIGHT VENTRICULAR FAILURES","RIGHT VENTRICULAR FAILURE",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"CARDIAC DISORDERS","HEART FAILURES","RIGHT VENTRICULAR FAILURES","",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"CARDIAC DISORDERS","HEART FAILURES","","",10,4,536,542,546,546,1092,1.8,0.7,1.1,250,2.8
"CARDIAC DISORDERS","MYOCARDIAL DISORDERS","MYOCARDIAL DISORDERS NEC","CARDIOMEGALY",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"CARDIAC DISORDERS","MYOCARDIAL DISORDERS","MYOCARDIAL DISORDERS NEC","",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"CARDIAC DISORDERS","MYOCARDIAL DISORDERS","","",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"CARDIAC DISORDERS","PERICARDIAL DISORDERS","NONINFECTIOUS PERICARDITIS","PERICARDITIS",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"CARDIAC DISORDERS","PERICARDIAL DISORDERS","NONINFECTIOUS PERICARDITIS","",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"CARDIAC DISORDERS","PERICARDIAL DISORDERS","","",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"CARDIAC DISORDERS","","","",162,120,384,426,546,546,1092,29.7,22,7.7,135,7.1
"CONGENITAL, FAMILIAL AND GENETIC DISORDERS","SKIN AND SUBCUTANEOUS TISSUE DISORDERS CONGENITAL","SKIN AND SUBCUTANEOUS TISSUE DISORDERS CONGENITAL NEC","DERMOID CYST",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"CONGENITAL, FAMILIAL AND GENETIC DISORDERS","SKIN AND SUBCUTANEOUS TISSUE DISORDERS CONGENITAL","SKIN AND SUBCUTANEOUS TISSUE DISORDERS CONGENITAL NEC","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"CONGENITAL, FAMILIAL AND GENETIC DISORDERS","SKIN AND SUBCUTANEOUS TISSUE DISORDERS CONGENITAL","","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"CONGENITAL, FAMILIAL AND GENETIC DISORDERS","","","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"EAR AND LABYRINTH DISORDERS","AURAL DISORDERS NEC","EAR DISORDERS NEC","EAR PAIN",4,0,542,546,546,546,1092,0.7,0,0.7,0,2.8
"EAR AND LABYRINTH DISORDERS","AURAL DISORDERS NEC","EAR DISORDERS NEC","",4,0,542,546,546,546,1092,0.7,0,0.7,0,2.8
"EAR AND LABYRINTH DISORDERS","AURAL DISORDERS NEC","","",4,0,542,546,546,546,1092,0.7,0,0.7,0,2.8
"EAR AND LABYRINTH DISORDERS","EXTERNAL EAR DISORDERS (EXCL CONGENITAL)","EXTERNAL EAR DISORDERS NEC","AURICULAR SWELLING",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"EAR AND LABYRINTH DISORDERS","EXTERNAL EAR DISORDERS (EXCL CONGENITAL)","EXTERNAL EAR DISORDERS NEC","CERUMEN IMPACTION",2,4,544,542,546,546,1092,0.4,0.7,-0.4,50,1.4
"EAR AND LABYRINTH DISORDERS","EXTERNAL EAR DISORDERS (EXCL CONGENITAL)","EXTERNAL EAR DISORDERS NEC","",4,4,542,542,546,546,1092,0.7,0.7,0,100,1.3
"EAR AND LABYRINTH DISORDERS","EXTERNAL EAR DISORDERS (EXCL CONGENITAL)","","",4,4,542,542,546,546,1092,0.7,0.7,0,100,1.3
"EAR AND LABYRINTH DISORDERS","HEARING DISORDERS","HEARING LOSSES","HYPOACUSIS",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"EAR AND LABYRINTH DISORDERS","HEARING DISORDERS","HEARING LOSSES","",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"EAR AND LABYRINTH DISORDERS","HEARING DISORDERS","","",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"EAR AND LABYRINTH DISORDERS","INNER EAR AND VIIITH CRANIAL NERVE DISORDERS","INNER EAR SIGNS AND SYMPTOMS","TINNITUS",4,4,542,542,546,546,1092,0.7,0.7,0,100,1.3
"EAR AND LABYRINTH DISORDERS","INNER EAR AND VIIITH CRANIAL NERVE DISORDERS","INNER EAR SIGNS AND SYMPTOMS","VERTIGO",4,6,542,540,546,546,1092,0.7,1.1,-0.4,66.7,1.6
"EAR AND LABYRINTH DISORDERS","INNER EAR AND VIIITH CRANIAL NERVE DISORDERS","INNER EAR SIGNS AND SYMPTOMS","",8,10,538,536,546,546,1092,1.5,1.8,-0.4,80,1.8
"EAR AND LABYRINTH DISORDERS","INNER EAR AND VIIITH CRANIAL NERVE DISORDERS","","",8,10,538,536,546,546,1092,1.5,1.8,-0.4,80,1.8
"EAR AND LABYRINTH DISORDERS","MIDDLE EAR DISORDERS (EXCL CONGENITAL)","TYMPANIC MEMBRANE DISORDERS (EXCL INFECTIONS)","TYMPANIC MEMBRANE PERFORATION",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"EAR AND LABYRINTH DISORDERS","MIDDLE EAR DISORDERS (EXCL CONGENITAL)","TYMPANIC MEMBRANE DISORDERS (EXCL INFECTIONS)","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"EAR AND LABYRINTH DISORDERS","MIDDLE EAR DISORDERS (EXCL CONGENITAL)","","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"EAR AND LABYRINTH DISORDERS","","","",18,18,528,528,546,546,1092,3.3,3.3,0,100,2
"ENDOCRINE DISORDERS","ADRENAL GLAND DISORDERS","ADRENAL GLAND DISORDERS NEC","ADRENAL MASS",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"ENDOCRINE DISORDERS","ADRENAL GLAND DISORDERS","ADRENAL GLAND DISORDERS NEC","",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"ENDOCRINE DISORDERS","ADRENAL GLAND DISORDERS","","",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"ENDOCRINE DISORDERS","ENDOCRINE DISORDERS OF GONADAL FUNCTION","ENDOCRINE ABNORMALITIES OF GONADAL FUNCTION NEC","HYPOGONADISM",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"ENDOCRINE DISORDERS","ENDOCRINE DISORDERS OF GONADAL FUNCTION","ENDOCRINE ABNORMALITIES OF GONADAL FUNCTION NEC","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"ENDOCRINE DISORDERS","ENDOCRINE DISORDERS OF GONADAL FUNCTION","","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"ENDOCRINE DISORDERS","THYROID GLAND DISORDERS","THYROID DISORDERS NEC","GOITRE",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"ENDOCRINE DISORDERS","THYROID GLAND DISORDERS","THYROID DISORDERS NEC","",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"ENDOCRINE DISORDERS","THYROID GLAND DISORDERS","THYROID HYPOFUNCTION DISORDERS","HYPOTHYROIDISM",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"ENDOCRINE DISORDERS","THYROID GLAND DISORDERS","THYROID HYPOFUNCTION DISORDERS","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"ENDOCRINE DISORDERS","THYROID GLAND DISORDERS","","",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"ENDOCRINE DISORDERS","","","",4,4,542,542,546,546,1092,0.7,0.7,0,100,1.3
"EYE DISORDERS","ANTERIOR EYE STRUCTURAL CHANGE, DEPOSIT AND DEGENERATION","CATARACT CONDITIONS","CATARACT",10,10,536,536,546,546,1092,1.8,1.8,0,100,1.7
"EYE DISORDERS","ANTERIOR EYE STRUCTURAL CHANGE, DEPOSIT AND DEGENERATION","CATARACT CONDITIONS","",10,10,536,536,546,546,1092,1.8,1.8,0,100,1.7
"EYE DISORDERS","ANTERIOR EYE STRUCTURAL CHANGE, DEPOSIT AND DEGENERATION","CONJUNCTIVAL STRUCTURAL CHANGE, DEPOSIT AND DEGENERATION","PTERYGIUM",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"EYE DISORDERS","ANTERIOR EYE STRUCTURAL CHANGE, DEPOSIT AND DEGENERATION","CONJUNCTIVAL STRUCTURAL CHANGE, DEPOSIT AND DEGENERATION","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"EYE DISORDERS","ANTERIOR EYE STRUCTURAL CHANGE, DEPOSIT AND DEGENERATION","","",10,12,536,534,546,546,1092,1.8,2.2,-0.4,83.3,1.9
"EYE DISORDERS","EYE DISORDERS NEC","LACRIMAL DISORDERS","DRY EYE",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"EYE DISORDERS","EYE DISORDERS NEC","LACRIMAL DISORDERS","LACRIMATION INCREASED",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"EYE DISORDERS","EYE DISORDERS NEC","LACRIMAL DISORDERS","",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"EYE DISORDERS","EYE DISORDERS NEC","OCULAR DISORDERS NEC","EYE SWELLING",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"EYE DISORDERS","EYE DISORDERS NEC","OCULAR DISORDERS NEC","",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"EYE DISORDERS","EYE DISORDERS NEC","","",4,2,542,544,546,546,1092,0.7,0.4,0.4,200,1.4
"EYE DISORDERS","GLAUCOMA AND OCULAR HYPERTENSION","GLAUCOMAS (EXCL CONGENITAL)","GLAUCOMA",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"EYE DISORDERS","GLAUCOMA AND OCULAR HYPERTENSION","GLAUCOMAS (EXCL CONGENITAL)","",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"EYE DISORDERS","GLAUCOMA AND OCULAR HYPERTENSION","","",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"EYE DISORDERS","OCULAR HAEMORRHAGES AND VASCULAR DISORDERS NEC","CONJUNCTIVAL AND CORNEAL BLEEDING AND VASCULAR DISORDERS","CONJUNCTIVAL HAEMORRHAGE",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"EYE DISORDERS","OCULAR HAEMORRHAGES AND VASCULAR DISORDERS NEC","CONJUNCTIVAL AND CORNEAL BLEEDING AND VASCULAR DISORDERS","",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"EYE DISORDERS","OCULAR HAEMORRHAGES AND VASCULAR DISORDERS NEC","OCULAR BLEEDING AND VASCULAR DISORDERS NEC","EYE HAEMORRHAGE",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"EYE DISORDERS","OCULAR HAEMORRHAGES AND VASCULAR DISORDERS NEC","OCULAR BLEEDING AND VASCULAR DISORDERS NEC","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"EYE DISORDERS","OCULAR HAEMORRHAGES AND VASCULAR DISORDERS NEC","","",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"EYE DISORDERS","OCULAR INFECTIONS, IRRITATIONS AND INFLAMMATIONS","CONJUNCTIVAL INFECTIONS, IRRITATIONS AND INFLAMMATIONS","CONJUNCTIVITIS",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"EYE DISORDERS","OCULAR INFECTIONS, IRRITATIONS AND INFLAMMATIONS","CONJUNCTIVAL INFECTIONS, IRRITATIONS AND INFLAMMATIONS","",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"EYE DISORDERS","OCULAR INFECTIONS, IRRITATIONS AND INFLAMMATIONS","LID, LASH AND LACRIMAL INFECTIONS, IRRITATIONS AND INFLAMMATIONS","EYELID OEDEMA",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"EYE DISORDERS","OCULAR INFECTIONS, IRRITATIONS AND INFLAMMATIONS","LID, LASH AND LACRIMAL INFECTIONS, IRRITATIONS AND INFLAMMATIONS","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"EYE DISORDERS","OCULAR INFECTIONS, IRRITATIONS AND INFLAMMATIONS","OCULAR INFECTIONS, INFLAMMATIONS AND ASSOCIATED MANIFESTATIONS","CONJUNCTIVITIS",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"EYE DISORDERS","OCULAR INFECTIONS, IRRITATIONS AND INFLAMMATIONS","OCULAR INFECTIONS, INFLAMMATIONS AND ASSOCIATED MANIFESTATIONS","EYE PRURITUS",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"EYE DISORDERS","OCULAR INFECTIONS, IRRITATIONS AND INFLAMMATIONS","OCULAR INFECTIONS, INFLAMMATIONS AND ASSOCIATED MANIFESTATIONS","",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"EYE DISORDERS","OCULAR INFECTIONS, IRRITATIONS AND INFLAMMATIONS","","",4,6,542,540,546,546,1092,0.7,1.1,-0.4,66.7,1.6
"EYE DISORDERS","OCULAR STRUCTURAL CHANGE, DEPOSIT AND DEGENERATION NEC","CHOROID AND VITREOUS STRUCTURAL CHANGE, DEPOSIT AND DEGENERATION","VITREOUS DETACHMENT",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"EYE DISORDERS","OCULAR STRUCTURAL CHANGE, DEPOSIT AND DEGENERATION NEC","CHOROID AND VITREOUS STRUCTURAL CHANGE, DEPOSIT AND DEGENERATION","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"EYE DISORDERS","OCULAR STRUCTURAL CHANGE, DEPOSIT AND DEGENERATION NEC","","",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"EYE DISORDERS","RETINA, CHOROID AND VITREOUS HAEMORRHAGES AND VASCULAR DISORDERS","RETINAL BLEEDING AND VASCULAR DISORDERS (EXCL RETINOPATHY)","RETINAL HAEMORRHAGE",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"EYE DISORDERS","RETINA, CHOROID AND VITREOUS HAEMORRHAGES AND VASCULAR DISORDERS","RETINAL BLEEDING AND VASCULAR DISORDERS (EXCL RETINOPATHY)","",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"EYE DISORDERS","RETINA, CHOROID AND VITREOUS HAEMORRHAGES AND VASCULAR DISORDERS","RETINOPATHIES NEC","DIABETIC RETINOPATHY",4,4,542,542,546,546,1092,0.7,0.7,0,100,1.3
"EYE DISORDERS","RETINA, CHOROID AND VITREOUS HAEMORRHAGES AND VASCULAR DISORDERS","RETINOPATHIES NEC","",4,4,542,542,546,546,1092,0.7,0.7,0,100,1.3
"EYE DISORDERS","RETINA, CHOROID AND VITREOUS HAEMORRHAGES AND VASCULAR DISORDERS","","",6,4,540,542,546,546,1092,1.1,0.7,0.4,150,1.6
"EYE DISORDERS","VISION DISORDERS","PARTIAL VISION LOSS","VISUAL ACUITY REDUCED",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"EYE DISORDERS","VISION DISORDERS","PARTIAL VISION LOSS","",2,0,544,546,546,546,1092,0.4,0,0.4,0,1.4
"EYE DISORDERS","VISION DISORDERS","VISUAL DISORDERS NEC","DIPLOPIA",0,2,546,544,546,546,1092,0,0.4,-0.4,0,1.4
"EYE DISORDERS","VISION DISORDERS","VISUAL DISORDERS NEC","VISION BLURRED",12,6,534,540,546,546,1092,2.2,1.1,1.1,200,2.7
"EYE DISORDERS","VISION DISORDERS","VISUAL DISORDERS NEC","",12,8,534,538,546,546,1092,2.2,1.5,0.7,150,2.1
"EYE DISORDERS","VISION DISORDERS","","",14,8,532,538,546,546,1092,2.6,1.5,1.1,175,2.6
"EYE DISORDERS","VISUAL DISORDERS NEC","VISUAL IMPAIRMENT","VISUAL DISTURBANCE",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"EYE DISORDERS","VISUAL DISORDERS NEC","VISUAL IMPAIRMENT","",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"EYE DISORDERS","VISUAL DISORDERS NEC","","",2,2,544,544,546,546,1092,0.4,0.4,0,100,1
"EYE DISORDERS","","","",44,40,502,506,546,546,1092,8.1,7.3,0.7,110,2.5
"GASTROINTESTINAL DISORDERS","ABDOMINAL HERNIAS AND OTHER ABDOMINAL WALL CONDITIONS","ABDOMINAL HERNIAS, SITE UNSPECIFIED","ABDOMINAL HERNIA",6,2,540,544,546,546,1092,1.1,0.4,0.7,300,2.2
