"AEBODSYS","AEHLGT","AEHLT","AEDECOD","A","C","B","D","APLUSB","CPLUSD","N","PCTTREAT","PCTCONTROL","RD","RR","PVALUE"
"Blood and lymphatic system disorders","HAEMOLYSES AND RELATED CONDITIONS","","",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Blood and lymphatic system disorders","PLATELET DISORDERS","THROMBOCYTOPENIAS","IDIOPATHIC THROMBOCYTOPENIC PURPURA",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Blood and lymphatic system disorders","PLATELET DISORDERS","THROMBOCYTOPENIAS","THROMBOCYTOPENIA",0,2,2602,2622,2602,2624,5226,0,0.1,-0.1,0,1.4
"Blood and lymphatic system disorders","PLATELET DISORDERS","THROMBOCYTOPENIAS","",1,2,2601,2622,2602,2624,5226,0,0.1,0,0.5,1
"Blood and lymphatic system disorders","PLATELET DISORDERS","","",1,2,2601,2622,2602,2624,5226,0,0.1,0,0.5,1
"Blood and lymphatic system disorders","SPLEEN, LYMPHATIC AND RETICULOENDOTHELIAL SYSTEM DISORDERS","LYMPHATIC SYSTEM DISORDERS NEC","LYMPHADENOPATHY",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Blood and lymphatic system disorders","SPLEEN, LYMPHATIC AND RETICULOENDOTHELIAL SYSTEM DISORDERS","LYMPHATIC SYSTEM DISORDERS NEC","",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Blood and lymphatic system disorders","SPLEEN, LYMPHATIC AND RETICULOENDOTHELIAL SYSTEM DISORDERS","","",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Blood and lymphatic system disorders","WHITE BLOOD CELL DISORDERS","NEUTROPENIAS","AGRANULOCYTOSIS",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Blood and lymphatic system disorders","WHITE BLOOD CELL DISORDERS","NEUTROPENIAS","",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Blood and lymphatic system disorders","WHITE BLOOD CELL DISORDERS","","",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Blood and lymphatic system disorders","","","",27,18,2575,2606,2602,2624,5226,1,0.7,0.4,1.5,3.1
"Cardiac disorders","CARDIAC ARRHYTHMIAS","CARDIAC CONDUCTION DISORDERS","ATRIOVENTRICULAR BLOCK",1,1,2601,2623,2602,2624,5226,0,0,0,1,0.7
"Cardiac disorders","CARDIAC ARRHYTHMIAS","CARDIAC CONDUCTION DISORDERS","ATRIOVENTRICULAR BLOCK COMPLETE",7,4,2595,2620,2602,2624,5226,0.3,0.2,0.1,1.8,1.8
"Cardiac disorders","CARDIAC ARRHYTHMIAS","CARDIAC CONDUCTION DISORDERS","ATRIOVENTRICULAR BLOCK FIRST DEGREE",0,2,2602,2622,2602,2624,5226,0,0.1,-0.1,0,1.4
"Cardiac disorders","CARDIAC ARRHYTHMIAS","CARDIAC CONDUCTION DISORDERS","ATRIOVENTRICULAR BLOCK SECOND DEGREE",5,4,2597,2620,2602,2624,5226,0.2,0.2,0,1.3,1.4
"Cardiac disorders","CARDIAC ARRHYTHMIAS","CARDIAC CONDUCTION DISORDERS","CONDUCTION DISORDER",0,1,2602,2623,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","CARDIAC ARRHYTHMIAS","CARDIAC CONDUCTION DISORDERS","",13,12,2589,2612,2602,2624,5226,0.5,0.5,0,1.1,1.9
"Cardiac disorders","CARDIAC ARRHYTHMIAS","RATE AND RHYTHM DISORDERS NEC","ARRHYTHMIA",1,1,2601,2623,2602,2624,5226,0,0,0,1,0.7
"Cardiac disorders","CARDIAC ARRHYTHMIAS","RATE AND RHYTHM DISORDERS NEC","BRADYARRHYTHMIA",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","CARDIAC ARRHYTHMIAS","RATE AND RHYTHM DISORDERS NEC","BRADYCARDIA",6,5,2596,2619,2602,2624,5226,0.2,0.2,0,1.2,1.5
"Cardiac disorders","CARDIAC ARRHYTHMIAS","RATE AND RHYTHM DISORDERS NEC","TACHYARRHYTHMIA",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","CARDIAC ARRHYTHMIAS","RATE AND RHYTHM DISORDERS NEC","TACHYCARDIA",1,4,2601,2620,2602,2624,5226,0,0.2,-0.1,0.3,1.8
"Cardiac disorders","CARDIAC ARRHYTHMIAS","RATE AND RHYTHM DISORDERS NEC","",10,10,2592,2614,2602,2624,5226,0.4,0.4,0,1,1.7
"Cardiac disorders","CARDIAC ARRHYTHMIAS","SUPRAVENTRICULAR ARRHYTHMIAS","ATRIAL FIBRILLATION",42,51,2560,2573,2602,2624,5226,1.6,1.9,-0.3,0.8,2.9
"Cardiac disorders","CARDIAC ARRHYTHMIAS","SUPRAVENTRICULAR ARRHYTHMIAS","ATRIAL FLUTTER",4,6,2598,2618,2602,2624,5226,0.2,0.2,-0.1,0.7,1.6
"Cardiac disorders","CARDIAC ARRHYTHMIAS","SUPRAVENTRICULAR ARRHYTHMIAS","ATRIAL TACHYCARDIA",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","CARDIAC ARRHYTHMIAS","SUPRAVENTRICULAR ARRHYTHMIAS","SICK SINUS SYNDROME",3,6,2599,2618,2602,2624,5226,0.1,0.2,-0.1,0.5,1.8
"Cardiac disorders","CARDIAC ARRHYTHMIAS","SUPRAVENTRICULAR ARRHYTHMIAS","SINUS ARRHYTHMIA",1,2,2601,2622,2602,2624,5226,0,0.1,0,0.5,1
"Cardiac disorders","CARDIAC ARRHYTHMIAS","SUPRAVENTRICULAR ARRHYTHMIAS","SINUS BRADYCARDIA",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","CARDIAC ARRHYTHMIAS","SUPRAVENTRICULAR ARRHYTHMIAS","SUPRAVENTRICULAR EXTRASYSTOLES",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","CARDIAC ARRHYTHMIAS","SUPRAVENTRICULAR ARRHYTHMIAS","SUPRAVENTRICULAR TACHYCARDIA",2,3,2600,2621,2602,2624,5226,0.1,0.1,0,0.7,1.2
"Cardiac disorders","CARDIAC ARRHYTHMIAS","SUPRAVENTRICULAR ARRHYTHMIAS","",55,68,2547,2556,2602,2624,5226,2.1,2.6,-0.5,0.8,3.3
"Cardiac disorders","CARDIAC ARRHYTHMIAS","VENTRICULAR ARRHYTHMIAS AND CARDIAC ARREST","CARDIAC ARREST",9,4,2593,2620,2602,2624,5226,0.3,0.2,0.2,2.3,2.5
"Cardiac disorders","CARDIAC ARRHYTHMIAS","VENTRICULAR ARRHYTHMIAS AND CARDIAC ARREST","VENTRICULAR ARRHYTHMIA",1,3,2601,2621,2602,2624,5226,0,0.1,-0.1,0.3,1.4
"Cardiac disorders","CARDIAC ARRHYTHMIAS","VENTRICULAR ARRHYTHMIAS AND CARDIAC ARREST","VENTRICULAR EXTRASYSTOLES",1,1,2601,2623,2602,2624,5226,0,0,0,1,0.7
"Cardiac disorders","CARDIAC ARRHYTHMIAS","VENTRICULAR ARRHYTHMIAS AND CARDIAC ARREST","VENTRICULAR FIBRILLATION",5,2,2597,2622,2602,2624,5226,0.2,0.1,0.1,2.5,1.8
"Cardiac disorders","CARDIAC ARRHYTHMIAS","VENTRICULAR ARRHYTHMIAS AND CARDIAC ARREST","VENTRICULAR TACHYCARDIA",4,4,2598,2620,2602,2624,5226,0.2,0.2,0,1,1.3
"Cardiac disorders","CARDIAC ARRHYTHMIAS","VENTRICULAR ARRHYTHMIAS AND CARDIAC ARREST","",20,14,2582,2610,2602,2624,5226,0.8,0.5,0.2,1.4,2.5
"Cardiac disorders","CARDIAC ARRHYTHMIAS","","",98,104,2504,2520,2602,2624,5226,3.8,4,-0.2,1,2.9
"Cardiac disorders","CARDIAC CONDUCTION DISORDERS","ATRIOVENTRICULAR DISSOCIATION","AV DISSOCIATION",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","CARDIAC CONDUCTION DISORDERS","ATRIOVENTRICULAR DISSOCIATION","",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","CARDIAC CONDUCTION DISORDERS","","",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","CARDIAC DISORDER SIGNS AND SYMPTOMS","CARDIAC DISORDERS NEC","ATRIAL THROMBOSIS",0,1,2602,2623,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","CARDIAC DISORDER SIGNS AND SYMPTOMS","CARDIAC DISORDERS NEC","CARDIAC FAILURE",2,1,2600,2623,2602,2624,5226,0.1,0,0,2,1
"Cardiac disorders","CARDIAC DISORDER SIGNS AND SYMPTOMS","CARDIAC DISORDERS NEC","",2,2,2600,2622,2602,2624,5226,0.1,0.1,0,1,1
"Cardiac disorders","CARDIAC DISORDER SIGNS AND SYMPTOMS","","",2,2,2600,2622,2602,2624,5226,0.1,0.1,0,1,1
"Cardiac disorders","CARDIAC VALVE DISORDERS","AORTIC VALVULAR DISORDERS","AORTIC VALVE DISEASE",0,1,2602,2623,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","CARDIAC VALVE DISORDERS","AORTIC VALVULAR DISORDERS","AORTIC VALVE STENOSIS",3,3,2599,2621,2602,2624,5226,0.1,0.1,0,1,1.2
"Cardiac disorders","CARDIAC VALVE DISORDERS","AORTIC VALVULAR DISORDERS","",3,4,2599,2620,2602,2624,5226,0.1,0.2,0,0.8,1.3
"Cardiac disorders","CARDIAC VALVE DISORDERS","MITRAL VALVULAR DISORDERS","MITRAL VALVE DISEASE",0,1,2602,2623,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","CARDIAC VALVE DISORDERS","MITRAL VALVULAR DISORDERS","MITRAL VALVE INCOMPETENCE",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","CARDIAC VALVE DISORDERS","MITRAL VALVULAR DISORDERS","MITRAL VALVE STENOSIS",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","CARDIAC VALVE DISORDERS","MITRAL VALVULAR DISORDERS","",2,1,2600,2623,2602,2624,5226,0.1,0,0,2,1
"Cardiac disorders","CARDIAC VALVE DISORDERS","","",5,5,2597,2619,2602,2624,5226,0.2,0.2,0,1,1.4
"Cardiac disorders","CORONARY ARTERY DISORDERS","CORONARY ARTERY DISORDERS NEC","CORONARY ARTERY DISEASE",19,15,2583,2609,2602,2624,5226,0.7,0.6,0.2,1.3,2.2
"Cardiac disorders","CORONARY ARTERY DISORDERS","CORONARY ARTERY DISORDERS NEC","CORONARY ARTERY INSUFFICIENCY",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","CORONARY ARTERY DISORDERS","CORONARY ARTERY DISORDERS NEC","CORONARY ARTERY OCCLUSION",4,6,2598,2618,2602,2624,5226,0.2,0.2,-0.1,0.7,1.6
"Cardiac disorders","CORONARY ARTERY DISORDERS","CORONARY ARTERY DISORDERS NEC","CORONARY ARTERY STENOSIS",22,29,2580,2595,2602,2624,5226,0.8,1.1,-0.3,0.8,2.6
"Cardiac disorders","CORONARY ARTERY DISORDERS","CORONARY ARTERY DISORDERS NEC","CORONARY ARTERY THROMBOSIS",0,1,2602,2623,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","CORONARY ARTERY DISORDERS","CORONARY ARTERY DISORDERS NEC","",46,51,2556,2573,2602,2624,5226,1.8,1.9,-0.2,0.9,2.6
"Cardiac disorders","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","ACUTE CORONARY SYNDROME",23,38,2579,2586,2602,2624,5226,0.9,1.4,-0.6,0.6,4.1
"Cardiac disorders","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","ACUTE MYOCARDIAL INFARCTION",16,20,2586,2604,2602,2624,5226,0.6,0.8,-0.1,0.8,2.2
"Cardiac disorders","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","ANGINA PECTORIS",89,124,2513,2500,2602,2624,5226,3.4,4.7,-1.3,0.7,5.7
"Cardiac disorders","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","ANGINA UNSTABLE",97,108,2505,2516,2602,2624,5226,3.7,4.1,-0.4,0.9,3.1
"Cardiac disorders","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","MYOCARDIAL INFARCTION",93,123,2509,2501,2602,2624,5226,3.6,4.7,-1.1,0.8,4.9
"Cardiac disorders","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","MYOCARDIAL ISCHAEMIA",11,9,2591,2615,2602,2624,5226,0.4,0.3,0.1,1.2,1.8
"Cardiac disorders","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","SILENT MYOCARDIAL INFARCTION",2,0,2600,2624,2602,2624,5226,0.1,0,0.1,0,1.4
"Cardiac disorders","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","",331,422,2271,2202,2602,2624,5226,12.7,16.1,-3.4,0.8,9.5
"Cardiac disorders","CORONARY ARTERY DISORDERS","","",377,473,2225,2151,2602,2624,5226,14.5,18,-3.5,0.8,9.5
"Cardiac disorders","CORONARY NECROSIS AND VASCULAR INSUFFICIENCY","ARTERIOSCLEROSIS CORONARY ARTERY","CORONARY ARTERY ATHEROSCLEROSIS",0,2,2602,2622,2602,2624,5226,0,0.1,-0.1,0,1.4
"Cardiac disorders","CORONARY NECROSIS AND VASCULAR INSUFFICIENCY","ARTERIOSCLEROSIS CORONARY ARTERY","",0,2,2602,2622,2602,2624,5226,0,0.1,-0.1,0,1.4
"Cardiac disorders","CORONARY NECROSIS AND VASCULAR INSUFFICIENCY","","",0,2,2602,2622,2602,2624,5226,0,0.1,-0.1,0,1.4
"Cardiac disorders","HEART FAILURES","HEART FAILURE SIGNS AND SYMPTOMS","CARDIAC ASTHMA",1,1,2601,2623,2602,2624,5226,0,0,0,1,0.7
"Cardiac disorders","HEART FAILURES","HEART FAILURE SIGNS AND SYMPTOMS","",1,1,2601,2623,2602,2624,5226,0,0,0,1,0.7
"Cardiac disorders","HEART FAILURES","HEART FAILURES NEC","CARDIAC FAILURE",236,170,2366,2454,2602,2624,5226,9.1,6.5,2.6,1.4,9.3
"Cardiac disorders","HEART FAILURES","HEART FAILURES NEC","CARDIAC FAILURE ACUTE",6,5,2596,2619,2602,2624,5226,0.2,0.2,0,1.2,1.5
"Cardiac disorders","HEART FAILURES","HEART FAILURES NEC","CARDIAC FAILURE CHRONIC",0,1,2602,2623,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","HEART FAILURES","HEART FAILURES NEC","CARDIAC FAILURE CONGESTIVE",45,30,2557,2594,2602,2624,5226,1.7,1.1,0.6,1.5,4
"Cardiac disorders","HEART FAILURES","HEART FAILURES NEC","CARDIOGENIC SHOCK",5,4,2597,2620,2602,2624,5226,0.2,0.2,0,1.3,1.4
"Cardiac disorders","HEART FAILURES","HEART FAILURES NEC","CARDIOPULMONARY FAILURE",0,3,2602,2621,2602,2624,5226,0,0.1,-0.1,0,2.1
"Cardiac disorders","HEART FAILURES","HEART FAILURES NEC","LOW CARDIAC OUTPUT SYNDROME",0,1,2602,2623,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","HEART FAILURES","HEART FAILURES NEC","",292,214,2310,2410,2602,2624,5226,11.2,8.2,3.1,1.4,10.3
"Cardiac disorders","HEART FAILURES","LEFT VENTRICULAR FAILURES","ACUTE LEFT VENTRICULAR FAILURE",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","HEART FAILURES","LEFT VENTRICULAR FAILURES","LEFT VENTRICULAR FAILURE",16,5,2586,2619,2602,2624,5226,0.6,0.2,0.4,3.2,4.7
"Cardiac disorders","HEART FAILURES","LEFT VENTRICULAR FAILURES","",17,5,2585,2619,2602,2624,5226,0.7,0.2,0.5,3.4,5.1
"Cardiac disorders","HEART FAILURES","RIGHT VENTRICULAR FAILURES","RIGHT VENTRICULAR FAILURE",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","HEART FAILURES","RIGHT VENTRICULAR FAILURES","",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","HEART FAILURES","","",311,220,2291,2404,2602,2624,5226,12,8.4,3.6,1.4,12.4
"Cardiac disorders","MYOCARDIAL DISORDERS","CARDIOMYOPATHIES","CARDIOMYOPATHY",0,1,2602,2623,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","MYOCARDIAL DISORDERS","CARDIOMYOPATHIES","CONGESTIVE CARDIOMYOPATHY",2,0,2600,2624,2602,2624,5226,0.1,0,0.1,0,1.4
"Cardiac disorders","MYOCARDIAL DISORDERS","CARDIOMYOPATHIES","HYPERTROPHIC CARDIOMYOPATHY",0,1,2602,2623,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","MYOCARDIAL DISORDERS","CARDIOMYOPATHIES","",2,2,2600,2622,2602,2624,5226,0.1,0.1,0,1,1
"Cardiac disorders","MYOCARDIAL DISORDERS","MYOCARDIAL DISORDERS NEC","VENTRICLE RUPTURE",0,1,2602,2623,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","MYOCARDIAL DISORDERS","MYOCARDIAL DISORDERS NEC","VENTRICULAR DYSFUNCTION",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","MYOCARDIAL DISORDERS","MYOCARDIAL DISORDERS NEC","VENTRICULAR HYPOKINESIA",0,1,2602,2623,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","MYOCARDIAL DISORDERS","MYOCARDIAL DISORDERS NEC","",1,2,2601,2622,2602,2624,5226,0,0.1,0,0.5,1
"Cardiac disorders","MYOCARDIAL DISORDERS","","",3,4,2599,2620,2602,2624,5226,0.1,0.2,0,0.8,1.3
"Cardiac disorders","PERICARDIAL DISORDERS","NONINFECTIOUS PERICARDITIS","PERICARDITIS",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","PERICARDIAL DISORDERS","NONINFECTIOUS PERICARDITIS","",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","PERICARDIAL DISORDERS","PERICARDIAL DISORDERS NEC","CARDIAC TAMPONADE",2,1,2600,2623,2602,2624,5226,0.1,0,0,2,1
"Cardiac disorders","PERICARDIAL DISORDERS","PERICARDIAL DISORDERS NEC","PERICARDIAL EFFUSION",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","PERICARDIAL DISORDERS","PERICARDIAL DISORDERS NEC","PERICARDIAL HAEMORRHAGE",1,0,2601,2624,2602,2624,5226,0,0,0,0,0.7
"Cardiac disorders","PERICARDIAL DISORDERS","PERICARDIAL DISORDERS NEC","",4,1,2598,2623,2602,2624,5226,0.2,0,0.1,4,1.9
"Cardiac disorders","PERICARDIAL DISORDERS","","",5,1,2597,2623,2602,2624,5226,0.2,0,0.2,5,2.4
"Cardiac disorders","","","",802,811,1800,1813,2602,2624,5226,30.8,30.9,-0.1,1,3.7
