AEBODSYS,AEHLGT,AEHLT,AEDECOD,A,C,B,D,APLUSB,CPLUSD,N,PCTTREAT,PCTCONTROL,RD,RR,PVALUE
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","RATE AND RHYTHM DISORDERS NEC","TACHYCARDIA",0,1,273,272,273,273,546,0,0.4,-0.4,0,0.7
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","RATE AND RHYTHM DISORDERS NEC",,1,2,272,271,273,273,546,0.4,0.7,-0.4,0.5,1
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","SUPRAVENTRICULAR ARRHYTHMIAS","ATRIAL FIBRILLATION",4,3,269,270,273,273,546,1.5,1.1,0.4,1.3,1.3
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","SUPRAVENTRICULAR ARRHYTHMIAS","SINUS BRADYCARDIA",1,1,272,272,273,273,546,0.4,0.4,0,1,0.7
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","SUPRAVENTRICULAR ARRHYTHMIAS",,5,4,268,269,273,273,546,1.8,1.5,0.4,1.2,1.4
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","VENTRICULAR ARRHYTHMIAS AND CARDIAC ARREST","CARDIAC ARREST",1,0,272,273,273,273,546,0.4,0,0.4,0,0.7
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","VENTRICULAR ARRHYTHMIAS AND CARDIAC ARREST","MYOCARDIAL INFARCTION",0,1,273,272,273,273,546,0,0.4,-0.4,0,0.7
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","VENTRICULAR ARRHYTHMIAS AND CARDIAC ARREST","VENTRICULAR ARRHYTHMIA",1,0,272,273,273,273,546,0.4,0,0.4,0,0.7
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","VENTRICULAR ARRHYTHMIAS AND CARDIAC ARREST","VENTRICULAR EXTRASYSTOLES",2,0,271,273,273,273,546,0.7,0,0.7,0,1.4
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","VENTRICULAR ARRHYTHMIAS AND CARDIAC ARREST","VENTRICULAR TACHYCARDIA",0,1,273,272,273,273,546,0,0.4,-0.4,0,0.7
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS","VENTRICULAR ARRHYTHMIAS AND CARDIAC ARREST",,4,2,269,271,273,273,546,1.5,0.7,0.7,2,1.4
"CARDIAC DISORDERS","CARDIAC ARRHYTHMIAS",,,11,9,262,264,273,273,546,4,3.3,0.7,1.2,1.8
"CARDIAC DISORDERS","CARDIAC DISORDER SIGNS AND SYMPTOMS","CARDIAC SIGNS AND SYMPTOMS NEC","CARDIAC DISCOMFORT",3,2,270,271,273,273,546,1.1,0.7,0.4,1.5,1.2
"CARDIAC DISORDERS","CARDIAC DISORDER SIGNS AND SYMPTOMS","CARDIAC SIGNS AND SYMPTOMS NEC","PALPITATIONS",5,6,268,267,273,273,546,1.8,2.2,-0.4,0.8,1.5
"CARDIAC DISORDERS","CARDIAC DISORDER SIGNS AND SYMPTOMS","CARDIAC SIGNS AND SYMPTOMS NEC",,8,8,265,265,273,273,546,2.9,2.9,0,1,1.6
"CARDIAC DISORDERS","CARDIAC DISORDER SIGNS AND SYMPTOMS",,,8,8,265,265,273,273,546,2.9,2.9,0,1,1.6
"CARDIAC DISORDERS","CARDIAC VALVE DISORDERS","MITRAL VALVULAR DISORDERS","MITRAL VALVE INCOMPETENCE",0,1,273,272,273,273,546,0,0.4,-0.4,0,0.7
"CARDIAC DISORDERS","CARDIAC VALVE DISORDERS","MITRAL VALVULAR DISORDERS",,0,1,273,272,273,273,546,0,0.4,-0.4,0,0.7
"CARDIAC DISORDERS","CARDIAC VALVE DISORDERS",,,0,1,273,272,273,273,546,0,0.4,-0.4,0,0.7
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","CORONARY ARTERY DISORDERS NEC","CORONARY ARTERY DISEASE",9,8,264,265,273,273,546,3.3,2.9,0.4,1.1,1.7
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","CORONARY ARTERY DISORDERS NEC","CORONARY ARTERY OCCLUSION",1,0,272,273,273,273,546,0.4,0,0.4,0,0.7
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","CORONARY ARTERY DISORDERS NEC","CORONARY ARTERY STENOSIS",3,2,270,271,273,273,546,1.1,0.7,0.4,1.5,1.2
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","CORONARY ARTERY DISORDERS NEC",,13,10,260,263,273,273,546,4.8,3.7,1.1,1.3,2
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","ACUTE CORONARY SYNDROME",3,0,270,273,273,273,546,1.1,0,1.1,0,2.1
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","ACUTE MYOCARDIAL INFARCTION",1,2,272,271,273,273,546,0.4,0.7,-0.4,0.5,1
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","ANGINA PECTORIS",32,18,241,255,273,273,546,11.7,6.6,5.1,1.8,4.3
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","ANGINA UNSTABLE",3,5,270,268,273,273,546,1.1,1.8,-0.7,0.6,1.5
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","ATRIOVENTRICULAR BLOCK COMPLETE",1,0,272,273,273,273,546,0.4,0,0.4,0,0.7
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS","MYOCARDIAL INFARCTION",2,2,271,271,273,273,546,0.7,0.7,0,1,1
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS","ISCHAEMIC CORONARY ARTERY DISORDERS",,42,27,231,246,273,273,546,15.4,9.9,5.5,1.6,4.1
"CARDIAC DISORDERS","CORONARY ARTERY DISORDERS",,,55,37,218,236,273,273,546,20.1,13.6,6.6,1.5,4.5
"CARDIAC DISORDERS","CORONARY NECROSIS AND VASCULAR INSUFFICIENCY","ARTERIOSCLEROSIS CORONARY ARTERY","CORONARY ARTERY ATHEROSCLEROSIS",0,1,273,272,273,273,546,0,0.4,-0.4,0,0.7
"CARDIAC DISORDERS","CORONARY NECROSIS AND VASCULAR INSUFFICIENCY","ARTERIOSCLEROSIS CORONARY ARTERY",,0,1,273,272,273,273,546,0,0.4,-0.4,0,0.7
"CARDIAC DISORDERS","CORONARY NECROSIS AND VASCULAR INSUFFICIENCY",,,0,1,273,272,273,273,546,0,0.4,-0.4,0,0.7
"CARDIAC DISORDERS","GENERAL SYSTEM DISORDERS NEC","PAIN AND DISCOMFORT NEC","ANGINA PECTORIS",0,1,273,272,273,273,546,0,0.4,-0.4,0,0.7
"CARDIAC DISORDERS","GENERAL SYSTEM DISORDERS NEC","PAIN AND DISCOMFORT NEC",,0,1,273,272,273,273,546,0,0.4,-0.4,0,0.7
"CARDIAC DISORDERS","GENERAL SYSTEM DISORDERS NEC",,,0,1,273,272,273,273,546,0,0.4,-0.4,0,0.7
"CARDIAC DISORDERS","HEART FAILURES","HEART FAILURES NEC","CARDIAC FAILURE CONGESTIVE",4,2,269,271,273,273,546,1.5,0.7,0.7,2,1.4
"CARDIAC DISORDERS","HEART FAILURES","HEART FAILURES NEC",,4,2,269,271,273,273,546,1.5,0.7,0.7,2,1.4
"CARDIAC DISORDERS","HEART FAILURES","RIGHT VENTRICULAR FAILURES","RIGHT VENTRICULAR FAILURE",1,0,272,273,273,273,546,0.4,0,0.4,0,0.7
"CARDIAC DISORDERS","HEART FAILURES","RIGHT VENTRICULAR FAILURES",,1,0,272,273,273,273,546,0.4,0,0.4,0,0.7
"CARDIAC DISORDERS","HEART FAILURES",,,5,2,268,271,273,273,546,1.8,0.7,1.1,2.5,1.8
"CARDIAC DISORDERS","MYOCARDIAL DISORDERS","MYOCARDIAL DISORDERS NEC","CARDIOMEGALY",1,1,272,272,273,273,546,0.4,0.4,0,1,0.7
"CARDIAC DISORDERS","MYOCARDIAL DISORDERS","MYOCARDIAL DISORDERS NEC",,1,1,272,272,273,273,546,0.4,0.4,0,1,0.7
"CARDIAC DISORDERS","MYOCARDIAL DISORDERS",,,1,1,272,272,273,273,546,0.4,0.4,0,1,0.7
"CARDIAC DISORDERS","PERICARDIAL DISORDERS","NONINFECTIOUS PERICARDITIS","PERICARDITIS",1,0,272,273,273,273,546,0.4,0,0.4,0,0.7
"CARDIAC DISORDERS","PERICARDIAL DISORDERS","NONINFECTIOUS PERICARDITIS",,1,0,272,273,273,273,546,0.4,0,0.4,0,0.7
"CARDIAC DISORDERS","PERICARDIAL DISORDERS",,,1,0,272,273,273,273,546,0.4,0,0.4,0,0.7
"CARDIAC DISORDERS",,,,81,60,192,213,273,273,546,29.7,22,7.7,1.4,4.7
